Commercial System,Scientific Claim,URL,fact_check,fact_check_source
ClaimBuster,marijuana use is associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,2,
ClaimBuster,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users""",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,2,
ClaimBuster,"the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,0,
ClaimBuster,Preliminary research into cannabis and insomnia suggests that CBD may have therapeutic potential for treating those with insomnia.,https://livelovefruit.com/10-benefits-of-cbd-oil/,1,
ClaimBuster,cannabis exposure is not associated with liver disease progression in HIV/HCV co-infected patients.,https://norml.org/news/2017/10/12/study-cannabis-may-be-protective-against-liver-disease,1,
ClaimBuster,subjects who consume cannabis are significantly less likely to suffer from non-alcoholic fatty liver disease (NAFLD) as compared to those who do not.,https://norml.org/news/2017/10/12/study-cannabis-may-be-protective-against-liver-disease,2,
ClaimBuster,cannabis is helpful rather than harmful for asthma patients (especially if you use the best cannabis delivery method for asthma patients).,https://www.green-flower.com/articles/322/how-cannabis-treats-asthma,-1,
ClaimBuster,Some areas improved—adult cigarette smoking dropped 27% from 2009 to 2015 and youth cigarette smoking plummeted 45% over that same period.,https://www.ajmc.com/newsroom/cdc-reports-mixed-progress-in-fighting-obesity,2,
ClaimBuster,rates of cancer are highest among children who were exposed in the womb and among those whose parents were exposed before they were conceived.,https://edition.cnn.com/2015/09/14/health/pesticide-exposure-childhood-cancer/index.html,2,
ClaimBuster,"at three cancer centers in states with medical marijuana laws, 30 percent of pediatric oncology providers surveyed reported receiving inquiries about medical marijuana, and 92 percent expressed willingness to help children with cancer access medical marijuana.",https://www.cancertodaymag.org/Pages/cancer-talk/Talking-About-Medical-Marijuana.aspx,2,
ClaimBuster,"Brain cancer: In a study of children with brain cancer compared with healthy children, researchers found that if either parent had been exposed to Roundup during the two years before the child's birth, the chances of the child developing brain cancer doubled.",https://www.ecowatch.com/15-health-problems-linked-to-monsantos-roundup-1882002128.html,2,
ClaimBuster,"children who experience multiple traumas — including violence, abuse or a parent’s struggle with mental illness — are more likely than others to suffer heart disease, lung disease, cancer and shortened life spans as adults.",https://www.nytimes.com/2016/01/03/opinion/sunday/is-the-drive-for-success-making-our-children-sick.html,0,
ClaimBuster,marijuana-based products can treat or cure cancer.,https://gizmodo.com/the-fda-is-cracking-down-on-claims-that-weed-cures-canc-1820079760,-1,
ClaimBuster,"There are some small randomized controlled trials not focused on cancer patients indicating that whole plant marijuana can relieve pain, but there is “lower quality evidence” surrounding other uses of whole plant marijuana in cancer patients, such as to reduce nausea and vomiting, increase appetite and improve muscle wasting.",https://www.cancertodaymag.org/Pages/cancer-talk/Talking-About-Medical-Marijuana.aspx,2,
ClaimBuster,marijuana smoking is not associated with an increased risk of developing lung cancer.,https://www.mpp.org/marijuana-is-safer/,1,
ClaimBuster,people who smoked marijuana actually had lower incidences of cancer compared to non-users of the drug.,https://www.mpp.org/marijuana-is-safer/,2,
ClaimBuster,cannabis use can help reduce the risk of certain cancers.,https://newstarget.com/2016-09-21-national-cancer-institute-90-of-population-not-aware-that-alcohol-causes-cancer.html,-1,
ClaimBuster,marijuana does not treat chronic pain or post-traumatic stress disorder.,https://edition.cnn.com/2017/08/14/health/medical-marijuana-pain-ptsd-study/index.html,1,
ClaimBuster,"marijuana can help battle depression, anxiety, post-traumatic stress disorder, and even addictions to alcohol and painkillers.",https://www.mensjournal.com/health-fitness/study-marijuana-can-help-battle-depression-anxiety-ptsd-and-addiction-w453012,0,
ClaimBuster,"cannabinoid receptors, through which marijuana exerts its effects, in a key emotional hub in the brain which is involved in regulating anxiety.",https://www.ibtimes.co.uk/anxiety-chronic-pain-nausea-health-conditions-medical-cannabis-could-help-1581706,0,
ClaimBuster,"medical marijuana shows potential for treating symptoms of PTSD, depression, and social anxiety.",https://www.medicalnewstoday.com/articles/314159.php,1,
ClaimBuster,"a survey of medical marijuana users in California revealed that 26.1 percent of participants reported therapeutic benefits for depression, and 37.8 percent reported benefits for anxiety.",https://www.medicalnewstoday.com/articles/314823.php,2,
ClaimBuster,"study demonstrated strong association between psychological distress and older age, low condom use, alcohol use, illicit drug use, as well as verbal abuse and family violence.",https://equityhealthj.biomedcentral.com/articles/10.1186/s12939-016-0342-8,2,
ClaimBuster,"consistent cannabis use can impair short-term memory, decrease alertness, lower reaction time, accelerate muscle fatigue (leading to a shorter exercise sesh), or even cause cardiovascular disease.",https://greatist.com/play/marijuana-effects-on-runners,-1,
ClaimBuster,ingesting cannabis mimics the very natural process of increasing exercise-induced endocannabinoids,https://greatist.com/play/marijuana-effects-on-runners,0,
ClaimBuster,"“We do know that components of marijuana like THC have shown results for modest pain relief, but that’s a very different conclusion than saying marijuana, which has hundred of components, is good for that”",https://gethighngetnaked.blogspot.com/2018/03/marijuana-could-treat-chronic-pain.html,0,
ClaimBuster,weed can help treat conditions like chronic pain and the side effects of chemotherapy.,https://gizmodo.com/the-fda-is-cracking-down-on-claims-that-weed-cures-canc-1820079760,0,
ClaimBuster,"prior cannabis use is associated with decreased in-hospital mortality among trauma patients, heart attack patients, and those requiring surgery for traumatic brain injuries.",https://norml.org/news/2018/03/29/study-marijuana-use-associated-with-decreased-mortality-among-patients-undergoing-orthopedic-surgeries,1,
ClaimBuster,smoking tobacco and drinking alcohol during pregnancy may also increase the child's risk of developing the disorder.,https://www.medicalnewstoday.com/articles/315359.php,-1,
ClaimBuster,mothers who smoke while pregnant increase their child’s risk for developing ADHD; women who drink alcohol and use drugs during pregnancy also put their child at risk for the disorder.,https://www.healthline.com/health/adhd/genetic,0,
ClaimBuster,cannabis is helpful rather than harmful for asthma patients.,https://karmayogadaily.com/2016/12/03/how-cannabis-treats-asthma/,0,
ClaimBuster,"Looking at children exposed to RA in the womb (clinical RA), researchers found that they had up to 90% more risk of developing epilepsy in early childhood than children whose mothers did not have RA.",https://www.epilepsyresearch.org.uk/children-whose-mothers-have-rheumatoid-arthritis-are-at-higher-risk-of-developing-childhood-epilepsy/,2,
ClaimBuster,excessive Social Networking Sites use is associated with depressive symptoms.,https://www.elynsgroup.com/journal/j-add-pre-med/article/depression-among-users-of-social-networking-sites-snss-the-role-of-sns-addiction-and-increased-usage,0,
ClaimBuster,intoxication with alcohol is more likely to lead to aggression compared to cannabis intoxication.,https://www.psypost.org/2016/12/study-alcohol-amplifies-aggression-cannabis-diminishes-46515,-1,
ClaimBuster,"among individuals who were chronic partner abusers, the use of alcohol was associated with significant increases in the daily likelihood of male-to-female physical aggression, but the use of marijuana was not.",https://www.mpp.org/marijuana-is-safer/,2,
ClaimBuster,vaccines cause autism,https://www.businessinsider.com/trump-vaccines-autism-2016-11,-1,
ClaimBuster,autism linked to mercury in vaccines,https://fox13now.com/2015/04/06/pediatricians-dont-read-the-science-robert-f-kennedy-jr-says-autism-linked-to-mercury-in-vaccines/,-1,
ClaimBuster,Flu vaccine in pregnant women not linked to autism risk in children,https://www.aappublications.org/news/2016/11/29/Autism112916,-1,
