Expert,"Validity [-2,+2]",Effort [1-3],Confidence [1-3],Scientific Claim,,URL
A,2,2,3,marijuana use is associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,,https://livelovefruit.com/10-benefits-of-cbd-oil/
A,-2,1,1,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users""",,https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/
A,-2,1,1,"the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",,https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic
A,2,2,3,Preliminary research into cannabis and insomnia suggests that CBD may have therapeutic potential for treating those with insomnia.,,https://livelovefruit.com/10-benefits-of-cbd-oil/
A,2,2,3,cannabis exposure is not associated with liver disease progression in HIV/HCV co-infected patients.,,https://norml.org/news/2017/10/12/study-cannabis-may-be-protective-against-liver-disease
A,2,2,3,subjects who consume cannabis are significantly less likely to suffer from non-alcoholic fatty liver disease (NAFLD) as compared to those who do not.,,https://norml.org/news/2017/10/12/study-cannabis-may-be-protective-against-liver-disease
A,2,1,3,cannabis is helpful rather than harmful for asthma patients (especially if you use the best cannabis delivery method for asthma patients).,,https://www.green-flower.com/articles/322/how-cannabis-treats-asthma
A,-1,3,3,Some areas improved—adult cigarette smoking dropped 27% from 2009 to 2015 and youth cigarette smoking plummeted 45% over that same period.,,https://www.ajmc.com/newsroom/cdc-reports-mixed-progress-in-fighting-obesity
A,-2,1,1,rates of cancer are highest among children who were exposed in the womb and among those whose parents were exposed before they were conceived.,,https://edition.cnn.com/2015/09/14/health/pesticide-exposure-childhood-cancer/index.html
A,2,2,3,"at three cancer centers in states with medical marijuana laws, 30 percent of pediatric oncology providers surveyed reported receiving inquiries about medical marijuana, and 92 percent expressed willingness to help children with cancer access medical marijuana.",,https://www.cancertodaymag.org/Pages/cancer-talk/Talking-About-Medical-Marijuana.aspx
A,2,2,3,"Brain cancer: In a study of children with brain cancer compared with healthy children, researchers found that if either parent had been exposed to Roundup during the two years before the child's birth, the chances of the child developing brain cancer doubled.",,https://www.ecowatch.com/15-health-problems-linked-to-monsantos-roundup-1882002128.html
A,1,3,2,"children who experience multiple traumas — including violence, abuse or a parent’s struggle with mental illness — are more likely than others to suffer heart disease, lung disease, cancer and shortened life spans as adults.",,https://www.nytimes.com/2016/01/03/opinion/sunday/is-the-drive-for-success-making-our-children-sick.html
A,-2,1,3,marijuana-based products can treat or cure cancer.,,https://gizmodo.com/the-fda-is-cracking-down-on-claims-that-weed-cures-canc-1820079760
A,2,2,3,"There are some small randomized controlled trials not focused on cancer patients indicating that whole plant marijuana can relieve pain, but there is “lower quality evidence” surrounding other uses of whole plant marijuana in cancer patients, such as to reduce nausea and vomiting, increase appetite and improve muscle wasting.",,https://www.cancertodaymag.org/Pages/cancer-talk/Talking-About-Medical-Marijuana.aspx
