SciClops Context,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.topic,Input.main_claim,Input.main_claim_URL,Input.related_claim_1,Input.related_claim_1_URL,Input.related_claim_2,Input.related_claim_2_URL,Input.related_claim_3,Input.related_claim_3_URL,Input.related_paper_1,Input.related_paper_1_URL,Input.related_paper_2,Input.related_paper_2_URL,Input.related_paper_3,Input.related_paper_3_URL,Input.related_factcheck_1,Input.related_factcheck_1_LABEL,Input.related_factcheck_2,Input.related_factcheck_2_LABEL,Input.related_factcheck_3,Input.related_factcheck_3_LABEL,Answer.Confidence1.Confidence1,Answer.Confidence2.Confidence2,Answer.Confidence3.Confidence3,Answer.Confidence4.Confidence4,Answer.Confidence5.Confidence5,Answer.Effort0.Effort0,Answer.Effort1.Effort1,Answer.Effort2.Effort2,Answer.Effort3.Effort3,Answer.Effort4.Effort4,Answer.Effort5.Effort5,Answer.Validity+1.Validity+1,Answer.Validity+2.Validity+2,Answer.Validity-1.Validity-1,Answer.Validity-2.Validity-2,Answer.Validity0.Validity0,Answer.ValidityNA.ValidityNA,Approve,Reject
no-context,33W1NHWFYH2AH1IOXBYMCXE614BZT6,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3A0EX8ZRN95C29CVR5AKMGV32U3YBO,AHM9DHGQ3SP98,Approved,Wed May 13 16:21:09 PDT 2020,Wed May 13 16:23:03 PDT 2020,Sat May 16 16:23:03 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,114,100% (1/1),100% (1/1),100% (1/1),diabetes-insulin,marijuana use is associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,Other studies in human participants have found that marijuana use was associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,,,,,The UK Prospective Diabetes Study (UKPDS): clinical and therapeutic implications for type 2 diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014359/,Combined associations of body weight and lifestyle factors with all cause and cause specific mortality in men and women: prospective cohort study,https://doi.org/10.1136/bmj.i5855,Clinical Immunologic Interventions for the Treatment of Type 1 Diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3405831/,The discovery of a vaccine for the autoimmune disease diabetes has been announced.,FALSE,"In July 2017, it was announced that Finnish researchers would begin human trials of a Type 1 diabetes vaccine in 2018.",TRUE,A medical school instructor lectures the class on the importance of taste as a diagnostic tool and demonstrates his point by conducting a diabetes test which involves dipping his finger into a flask of urine and licking it.,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
no-context,33W1NHWFYH2AH1IOXBYMCXE614BZT6,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3JZQSN0I3RR2TZ3B21AAY6FKCW6GFR,AITP2LUW8GPB,Approved,Wed May 13 16:22:12 PDT 2020,Wed May 13 16:26:16 PDT 2020,Sat May 16 16:26:16 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,244,100% (15/15),100% (15/15),100% (15/15),diabetes-insulin,marijuana use is associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,Other studies in human participants have found that marijuana use was associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,,,,,The UK Prospective Diabetes Study (UKPDS): clinical and therapeutic implications for type 2 diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014359/,Combined associations of body weight and lifestyle factors with all cause and cause specific mortality in men and women: prospective cohort study,https://doi.org/10.1136/bmj.i5855,Clinical Immunologic Interventions for the Treatment of Type 1 Diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3405831/,The discovery of a vaccine for the autoimmune disease diabetes has been announced.,FALSE,"In July 2017, it was announced that Finnish researchers would begin human trials of a Type 1 diabetes vaccine in 2018.",TRUE,A medical school instructor lectures the class on the importance of taste as a diagnostic tool and demonstrates his point by conducting a diabetes test which involves dipping his finger into a flask of urine and licking it.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
no-context,33W1NHWFYH2AH1IOXBYMCXE614BZT6,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3PJ71Z61R5JWOAMVHWPFHNP379S19K,ADO4WN8SKYVYQ,Approved,Wed May 13 16:21:16 PDT 2020,Wed May 13 16:21:57 PDT 2020,Sat May 16 16:21:57 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,41,100% (14/14),100% (14/14),100% (14/14),diabetes-insulin,marijuana use is associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,Other studies in human participants have found that marijuana use was associated with 16% lower fasting insulin levels (18) – a factor connected to the onset of diabetes symptoms.,https://livelovefruit.com/10-benefits-of-cbd-oil/,,,,,The UK Prospective Diabetes Study (UKPDS): clinical and therapeutic implications for type 2 diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2014359/,Combined associations of body weight and lifestyle factors with all cause and cause specific mortality in men and women: prospective cohort study,https://doi.org/10.1136/bmj.i5855,Clinical Immunologic Interventions for the Treatment of Type 1 Diabetes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3405831/,The discovery of a vaccine for the autoimmune disease diabetes has been announced.,FALSE,"In July 2017, it was announced that Finnish researchers would begin human trials of a Type 1 diabetes vaccine in 2018.",TRUE,A medical school instructor lectures the class on the importance of taste as a diagnostic tool and demonstrates his point by conducting a diabetes test which involves dipping his finger into a flask of urine and licking it.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
no-context,3QXFBUZ4ZKXPQX287O07WMK29SOUG3,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3L6L49WXW1EUFMH21OV035R4XXJ459,AITP2LUW8GPB,Approved,Wed May 13 16:22:00 PDT 2020,Wed May 13 16:24:43 PDT 2020,Sat May 16 16:24:43 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,163,100% (15/15),100% (15/15),100% (15/15),addiction-cigarettes,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users""",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,,,The loss of autonomy over smoking in relation to lifetime cigarette consumption.,https://www.ncbi.nlm.nih.gov/pubmed/19717241,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,"FDA announces comprehensive regulatory plan to shift trajectory of tobacco-related disease, death",https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm568923.htm,Lucky Strike cigarettes changed from a green package to a white one during the 1940s in order to aid the war effort.,FALSE,Kool menthol cigarettes are owned by the KKK. Or menthols are part of an insidious plot to do away with African-Americans. Or they contain fiberglass. Or they’ll render a man’s winky inoperable.,FALSE,In 2007 a man from Sweden received disability payments for his for his addiction to heavy metal music.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
no-context,3QXFBUZ4ZKXPQX287O07WMK29SOUG3,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3QHK8ZVMINZS2A5W8QLUS8T7TF0LBK,A2B607EMRHNR5B,Approved,Wed May 13 16:22:02 PDT 2020,Wed May 13 16:22:28 PDT 2020,Sat May 16 16:22:28 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,26,100% (4/4),100% (4/4),100% (4/4),addiction-cigarettes,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users""",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,,,The loss of autonomy over smoking in relation to lifetime cigarette consumption.,https://www.ncbi.nlm.nih.gov/pubmed/19717241,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,"FDA announces comprehensive regulatory plan to shift trajectory of tobacco-related disease, death",https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm568923.htm,Lucky Strike cigarettes changed from a green package to a white one during the 1940s in order to aid the war effort.,FALSE,Kool menthol cigarettes are owned by the KKK. Or menthols are part of an insidious plot to do away with African-Americans. Or they contain fiberglass. Or they’ll render a man’s winky inoperable.,FALSE,In 2007 a man from Sweden received disability payments for his for his addiction to heavy metal music.,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
no-context,3QXFBUZ4ZKXPQX287O07WMK29SOUG3,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3SEPORI8WOG7OPH8HDC75CKZQ6NAZX,A3CZK6Y3LSKKIG,Approved,Wed May 13 16:21:21 PDT 2020,Wed May 13 16:21:45 PDT 2020,Sat May 16 16:21:45 PDT 2020,Wed May 13 18:17:18 PDT 2020,,,24,100% (3/3),100% (3/3),100% (3/3),addiction-cigarettes,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users""",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,,,The loss of autonomy over smoking in relation to lifetime cigarette consumption.,https://www.ncbi.nlm.nih.gov/pubmed/19717241,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,"FDA announces comprehensive regulatory plan to shift trajectory of tobacco-related disease, death",https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm568923.htm,Lucky Strike cigarettes changed from a green package to a white one during the 1940s in order to aid the war effort.,FALSE,Kool menthol cigarettes are owned by the KKK. Or menthols are part of an insidious plot to do away with African-Americans. Or they contain fiberglass. Or they’ll render a man’s winky inoperable.,FALSE,In 2007 a man from Sweden received disability payments for his for his addiction to heavy metal music.,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
no-context,3B9J25CZ25UWU8UZGX9ORUHZQ3BSCB,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,392CY0QWG286RACH88EUSEV92JP4IJ,ADO4WN8SKYVYQ,Approved,Wed May 13 16:22:51 PDT 2020,Wed May 13 16:28:51 PDT 2020,Sat May 16 16:28:51 PDT 2020,Wed May 13 18:17:19 PDT 2020,,,360,100% (14/14),100% (14/14),100% (14/14),addiction-tobacco,"the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"Public health professionals claim the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,FDA takes action against four tobacco manufacturers for illegal sales of flavored cigarettes labeled as little cigars or cigars,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm532563.htm,"E-cigarettes, Cigarettes, and the Prevalence of Adolescent Tobacco Use",https://pediatrics.aappublications.org/content/138/2/e20153983,'Marijuana is less addictive than both alcohol and tobacco.',TRUE,Photographs show toys from Christmas drives for the needy that were exchanged at Walmart for tobacco and alcohol.,FALSE,Says 'A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.',TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
no-context,3B9J25CZ25UWU8UZGX9ORUHZQ3BSCB,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,39KFRKBFIOCWL314VAF6S0V29TMYOS,AITP2LUW8GPB,Approved,Wed May 13 16:21:54 PDT 2020,Wed May 13 16:23:10 PDT 2020,Sat May 16 16:23:10 PDT 2020,Wed May 13 18:17:19 PDT 2020,,,76,100% (15/15),100% (15/15),100% (15/15),addiction-tobacco,"the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"Public health professionals claim the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,FDA takes action against four tobacco manufacturers for illegal sales of flavored cigarettes labeled as little cigars or cigars,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm532563.htm,"E-cigarettes, Cigarettes, and the Prevalence of Adolescent Tobacco Use",https://pediatrics.aappublications.org/content/138/2/e20153983,'Marijuana is less addictive than both alcohol and tobacco.',TRUE,Photographs show toys from Christmas drives for the needy that were exchanged at Walmart for tobacco and alcohol.,FALSE,Says 'A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.',TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
no-context,3B9J25CZ25UWU8UZGX9ORUHZQ3BSCB,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,3GLB5JMZFYC5VFPFBVFKA6CZ0JQGDG,A3LE1BIVORW3VR,Approved,Wed May 13 16:22:09 PDT 2020,Wed May 13 17:06:03 PDT 2020,Sat May 16 17:06:03 PDT 2020,Wed May 13 18:17:19 PDT 2020,,,2634,100% (6/6),100% (6/6),100% (6/6),addiction-tobacco,"the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"Public health professionals claim the road map used by ""big tobacco"" will be copied with legal marijuana, and addiction rates for marijuana will increase to those we see for tobacco.",https://theweek.com/articles/533795/medical-marijuana-curb-heroin-epidemic,"""The overwhelming amount of death and disease attributable to tobacco is caused by addiction to cigarettes – the only legal consumer product that, when used as intended, will kill half of all long-term users,"" said FDA Commissioner Scott Gottlieb in the FDA report.",https://www.engadget.com/2017/07/28/fda-change-of-heart-about-e-cigarettes/,,,"Comparative risk assessment of alcohol, tobacco, cannabis and other illicit drugs using the margin of exposure approach",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4311234/,FDA takes action against four tobacco manufacturers for illegal sales of flavored cigarettes labeled as little cigars or cigars,https://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm532563.htm,"E-cigarettes, Cigarettes, and the Prevalence of Adolescent Tobacco Use",https://pediatrics.aappublications.org/content/138/2/e20153983,'Marijuana is less addictive than both alcohol and tobacco.',TRUE,Photographs show toys from Christmas drives for the needy that were exchanged at Walmart for tobacco and alcohol.,FALSE,Says 'A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.',TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,
no-context,3Y7LTZE0YT3PHEXDXGOWHT08KIIZUX,373MH2DFEYI8JMXWKV7BWCX78YNBHX,Verification of Scientific Claims,"Given a scientific claim and some auxiliary data, decide whether the claim is valid or not.","verification, claims, text",$0.10,Wed May 13 16:20:29 PDT 2020,3,BatchId:4036384;OriginalHitTemplateId:928390909;,3600,259200,Wed May 20 16:20:29 PDT 2020,,,382M9COHEIWTS34ARVFLK3VB937UEO,AITP2LUW8GPB,Approved,Wed May 13 16:42:21 PDT 2020,Wed May 13 16:46:19 PDT 2020,Sat May 16 16:46:19 PDT 2020,Wed May 13 18:17:19 PDT 2020,,,238,100% (15/15),100% (15/15),100% (15/15),cannabis-insomnia,Preliminary research into cannabis and insomnia suggests that CBD may have therapeutic potential for treating those with insomnia.,https://livelovefruit.com/10-benefits-of-cbd-oil/,Preliminary research into cannabis and insomnia suggests that CBD may have therapeutic potential for treating those with insomnia (6).,https://livelovefruit.com/10-benefits-of-cbd-oil/,,,,,Multiple sclerosis and extract of cannabis: results of the MUSEC trial.,https://www.ncbi.nlm.nih.gov/pubmed/22791906,Cell-Phone Addiction: A Review,https://doi.org/10.3389/fpsyt.2016.00175,,,"Unlike marijuana, medical cannabis oil cannot get you high.",TRUE,"'A majority of Americans now live in states where they have decided to legalize cannabis,' including recreational and medical marijuana.",TRUE,"Hours after Massachusetts legalized recreational marijuana, the state had its first cannabis overdose.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
