sentence	label	agreement
A New Climate Report Has Some Worried About The White House's Response	0.0	weak
A major hurdle in stopping companies like this is that once they garner the attention of the feds, they often just move their illegal claims to new websites, making for a never-ending game of regulatory Whack-A-Mole.	0.0	weak
ALS: Most physically active have '26 percent higher risk'	1.0	strong
Additional support came from the National Institutes of Health (NIH)/National Center for Complementary and Alternative Medicine, and by the National Institute of General Medical Sciences.	0.0	strong
Aetna faces class-action lawsuit over HIV disclosures	0.0	strong
After ingesting the poison, it may take up to six hours for death to occur, so the victim can be miles away.	1.0	strong
Alexandra’s family did want a second opinion, so she endured experimental testing that she described as “torture” and, finally, four years after that first reaction, it was confirmed that she was allergic to water.	0.0	strong
Also, small sample sizes resulted in unreliable estimates for some industries and occupations.	0.0	strong
Amanda Chantal Bacon of Moon Juice Makes Her Mark	0.0	strong
And by showcasing their research, the team hopes more doctors will become willing to discuss their mental health issues, and that more hospitals will create evidence-based programs that can help doctors struggling with work burnout and depression.	1.0	strong
Anxiety after addiction recovery: How can you help a friend cope?	0.0	strong
Arguing for Some Clonal Expansion of T Cells in the Aging Immune System to be a Beneficial Adaptation	1.0	weak
As A Black Man, Amazon Go Gives Me Anxiety	0.0	strong
"As a result mothers warned their daughters to keep clear of SS men for fear that they would be ""spirited off to one of the homes and used for breeding""."	0.0	weak
Asthma, allergy, and eczema were diagnosed and treated by COPSAC pediatricians in accordance with predefined algorithms.11	1.0	weak
At-home genetic test for 10 diseases gets first FDA approval	0.0	weak
Autism and Alzheimer’s—the answer lies in the gut	1.0	strong
Basil & Browned Butter cupcakes with Browned Butter frosting	0.0	weak
"Because a proposed interchangeable product may be substituted for the reference product without the intervention of the health care provider who prescribed the reference product, a proposed interchangeable product with a differently designed presentation than the reference product may raise uncertainty about whether the difference in presentations would impact the ability of end users, including patients or caregivers,"" FDA writes."	1.0	weak
Because participants logged data daily, researchers believe their methods may be more accurate than those used in prior studies of alcohol and exercise.	0.0	weak
Benefits of daily aspirin outweigh risk to stomach	1.0	strong
Better sex starts with better sleep	1.0	weak
Blueberry Benefits: 20 Science-Backed Health Benefits of Blueberries	0.0	weak
Brain effects of ‘hottest pepper in the world’ put man in hospital	1.0	strong
But that risk increases dramatically at if temperatures rise by 4.5°C, and would be catastrophic for the flora and fauna in particularly vulnerable areas such as the Miombo Woodlands in southern Africa, where the study projects the loss of 90% of amphibians and 80% or more of mammal, plant, and bird life.	1.0	strong
But while its construction started at the same time, it is yet to be completed.	0.0	strong
C. Diff Infections Are Falling, Thanks To Better Cleaning And Fewer Antibiotics	1.0	strong
CDC: 'Avoid All Romaine Lettuce;' Dozens Hospitalized with Outbreak of E. Coli & Kidney Failure – True Pundit	1.0	strong
Clinical chronobiology: a timely consideration in critical care medicine	0.0	strong
Competing-risk analyses are shown in Figure S11 in the Supplementary Appendix.	0.0	weak
Conversely, mutations that kick telomerase into high gear are frequently found in liver cancers.	1.0	strong
Could a turmeric extract help to treat pancreatic cancer?	1.0	weak
Crashing Into Boiling Water and Other Ways Hoverboards Send Thousands of Kids to Hospital Each Year	0.0	strong
Cycling and cramp: the fact, the theory and the fallacy behind the mystery affliction	0.0	strong
Degenerative Brain Disease Found In Nearly All Donated NFL Player Brains, Says Study	1.0	weak
"Did Harvard really create the ""holy grail"" of solid metallic hydrogen?"	0.0	strong
Doing this facilitated the transfusion of blood plasma from a young donor into an older subject, which was found to have a rejuvenating effect.	1.0	strong
Don’t believe me – take a peek at this post of mine that promises you a good time in Monsoons.	0.0	strong
Dose Finding in Late-Phase Drug Development	0.0	weak
Dubbed the freshwater salinization syndrome, Kaushal said this has caused a spike in salinity and alkaline levels at nearly 230 sites in the East and Midwest including the Hudson, Potomac, and Mississippi rivers.	1.0	weak
Ducks Forward Patrick Eaves Diagnosed With Rare Guillain-Barré Syndrome	0.0	strong
Emmy Sports Emmy Awards Outstanding Sports Personality - Studio Analyst	0.0	strong
Enlist Duo: Effective New Herbicide or Monarch Butterfly Threat?	0.0	strong
FDA Considers Revoking Soy Protein Health Claim -- Occupational Health & Safety	0.0	strong
FDA Links Breast Implants To Cases Of Rare Blood Cancer	1.0	strong
FDA warns of serious manufacturing violations in letter to EpiPen manufacturing facility	0.0	weak
Flight safety and liquid chemicals: 95% alcohol and formol	0.0	strong
Flour Power: 5 Options That Are Good for Baking and Diabetes	0.0	weak
Going from imaging to killing cells is just about turning the knob on the laser that you use,”	1.0	weak
Grape compounds may promote resilience against depression and stress	1.0	strong
Graphic India raises $5M to build a Marvel-like digital comic brand for India	0.0	strong
Hamilton says the partnership with FDA will focus on Emulate’s liver chips from various species (dog, rat, and human) to assess toxicology results it produces in both animals and humans.	0.0	weak
Harvard Scientists Think They’ve Pinpointed The Physical Source Of Consciousness	0.0	strong
Harvard study strengthens link between breast cancer risk and light exposure at night	1.0	weak
He further suggested that those patients seeking an alternative to opioid analgesics may wish to try “Tylenol.	1.0	strong
He was then diagnosed with carrying a beef tapeworm.	0.0	strong
Health interventions can change systemic and cultural determinants of STI/HIV transmission	0.0	weak
Here's Why 'Inert' Ingredients May Be the Most Harmful of All	0.0	strong
"Hohmann added that Zayner’s experiment was ultimately ""naïve and poorly advised — on several levels."	0.0	weak
How to Make Aloe Vera Gel	0.0	weak
However, no matter what you thought of the testicle egg rolls, poppers, chili or anything else the thought was always in the back of my mind of what I was eating.	0.0	weak
However, when your muscles are very warm you may experience a false sense of flexibility, move further into a pose than what you’re ready for, and pull a muscle.	0.0	weak
